CUSTOMER_ID,FULL_NAME,DOB,CITY,RISK_RATING,AML_SCORE,KYC_LEVEL
C00076,Tran Huu Khoa,1985-09-15,Hai Phong,LOW,32,FULL
C00077,Vu Xuan Tung,1997-04-25,Vung Tau,LOW,24,FULL
C00078,Tran Minh Nam,2004-09-22,Da Nang,MEDIUM,81,FULL
C00079,Dang Huu Linh,1979-08-15,Ho Chi Minh,LOW,11,FULL
C00080,Dang Hai Vy,1994-03-10,Ho Chi Minh,HIGH,28,FULL
C00081,Phan Khanh Tung,1985-04-11,Nha Trang,LOW,93,FULL
C00082,Hoang Thu Linh,1963-08-20,Quang Ninh,MEDIUM,85,FULL
C00083,Vu Khanh Hoang,1963-06-13,Ho Chi Minh,MEDIUM,18,FULL
C00084,Nguyen Duc Binh,1977-05-03,Quang Ninh,LOW,52,FULL
C00085,Le Gia Khoa,1980-07-31,Nha Trang,LOW,85,FULL
C00086,Vo Quoc Phuc,1998-07-17,Da Nang,LOW,29,FULL
C00087,Do Minh Khang,1967-09-13,Hue,HIGH,74,FULL
C00088,Tran Thi Anh,1992-04-05,Vung Tau,LOW,26,FULL
C00089,Ho Tuan Khang,1976-04-13,Da Nang,LOW,86,FULL
C00090,Vo Duc An,1999-10-05,Quang Ninh,MEDIUM,16,PARTIAL
C00091,Duong Hoang Kiet,1985-11-29,Da Nang,HIGH,47,FULL
C00092,Vu Tuan Linh,1992-10-26,Ho Chi Minh,MEDIUM,47,FULL
C00093,Le Khanh Long,1960-10-23,Can Tho,HIGH,9,FULL
C00094,Do Hoang Lan,2002-10-29,Ho Chi Minh,LOW,18,FULL
C00095,Ho Gia Lan,1967-05-23,Hai Phong,LOW,54,FULL
C00096,Huynh Gia Nam,1970-08-06,Dong Nai,LOW,62,FULL
C00097,Nguyen Duc Hoang,2003-05-30,Vung Tau,LOW,87,FULL
C00098,Huynh Huu Lan,1969-09-29,Hai Phong,LOW,95,FULL
C00099,Huynh Thanh Vy,1998-02-21,Vung Tau,MEDIUM,37,FULL
C00100,Nguyen Huu Khoa,1991-08-21,Ho Chi Minh,LOW,42,FULL
C00101,Ngo Duc Anh,1964-07-03,Ho Chi Minh,LOW,80,FULL
C00102,Duong Duc Bao,1999-08-06,Hai Phong,MEDIUM,19,FULL
C00103,Hoang Duc An,1998-10-02,Can Tho,LOW,19,FULL
C00104,Huynh Duc Lan,1979-04-06,Dong Nai,LOW,35,FULL
C00105,Le Minh Lan,1979-06-17,Ha Noi,MEDIUM,28,FULL
C00106,Huynh Hai Trang,1993-12-03,Da Nang,MEDIUM,58,FULL
C00107,Duong Quoc Linh,1998-07-03,Vung Tau,LOW,24,FULL
C00108,Vo Thanh Nhung,1996-07-09,Hue,LOW,92,PARTIAL
C00109,Nguyen Xuan Anh,1975-04-05,Hai Phong,LOW,52,FULL
C00110,Hoang Tuan Linh,1992-01-30,Quang Ninh,LOW,13,FULL
C00111,Vu Van Bao,1987-10-25,Hue,LOW,59,FULL
C00112,Nguyen Hai Dat,1970-04-28,Quang Ninh,LOW,30,FULL
C00113,Phan Gia Dat,1964-02-25,Can Tho,LOW,82,FULL
C00114,Huynh Tuan Huy,1966-04-28,Ho Chi Minh,MEDIUM,75,FULL
C00115,Ho Quoc Khang,1999-10-18,Da Nang,LOW,44,FULL
C00116,Nguyen Duc Vy,1970-03-02,Ho Chi Minh,LOW,30,FULL
C00117,Le Van Linh,1980-11-26,Ho Chi Minh,LOW,41,FULL
C00118,Pham Khanh Phuc,1970-10-17,Vung Tau,LOW,89,FULL
C00119,Do Huu Trang,1995-02-09,Nha Trang,LOW,6,FULL
C00120,Dang Thu Linh,2001-11-04,Nha Trang,LOW,11,FULL
C00121,Ngo Hoang Vy,1997-08-13,Dong Nai,LOW,52,FULL
C00122,Tran Duc Dat,1977-07-19,Hai Phong,MEDIUM,29,FULL
C00123,Huynh Minh Trang,2005-11-11,Hai Phong,LOW,93,FULL
C00124,Dang Duc An,1985-06-05,Ha Noi,LOW,54,FULL
C00125,Duong Huu Binh,1980-04-15,Hue,LOW,91,FULL
C00126,Pham Hoang Son,1967-08-27,Nha Trang,LOW,6,FULL
C00127,Phan Hoang Khoa,1992-03-06,Vung Tau,LOW,13,PARTIAL
C00128,Dang Huu Tung,1979-12-06,Dong Nai,MEDIUM,89,FULL
C00129,Le Minh Kiet,1972-09-20,Dong Nai,LOW,12,FULL
C00130,Pham Hoang Phuc,1992-09-17,Hai Phong,LOW,47,PARTIAL
C00131,Duong Xuan Lan,1961-08-20,Hai Phong,MEDIUM,40,FULL
C00132,Vo Thu Huy,2005-08-06,Nha Trang,MEDIUM,80,PARTIAL
C00133,Do Quoc Nhung,1968-08-15,Ho Chi Minh,MEDIUM,51,FULL
C00134,Vu Ngoc Trang,1985-12-15,Vung Tau,LOW,73,FULL
C00135,Vo Duc Huy,1999-08-22,Da Nang,LOW,93,FULL
C00136,Duong Khanh Long,1961-05-02,Vung Tau,LOW,6,FULL
C00137,Tran Ngoc Binh,2005-07-04,Ho Chi Minh,LOW,90,PARTIAL
C00138,Pham Huu Kiet,1997-03-25,Ho Chi Minh,LOW,71,FULL
C00139,Le Thu Vy,1985-11-08,Ho Chi Minh,HIGH,58,FULL
C00140,Vo Tuan Huy,1963-07-14,Hue,LOW,41,FULL
C00141,Dang Ngoc An,1989-12-30,Nha Trang,MEDIUM,5,FULL
C00142,Hoang Quoc Nhung,1966-12-01,Ha Noi,LOW,17,PARTIAL
C00143,Huynh Van Dat,1994-12-31,Da Nang,HIGH,15,FULL
C00144,Vo Van Khoa,1988-02-27,Vung Tau,LOW,49,FULL
C00145,Pham Quoc Hoang,1989-03-29,Can Tho,LOW,25,FULL
C00146,Tran Hai Khang,1985-03-12,Hai Phong,LOW,80,PARTIAL
C00147,Nguyen Gia Hoang,1987-12-17,Vung Tau,LOW,28,PARTIAL
C00148,Vu Duc Khang,1982-01-22,Hue,LOW,61,FULL
C00149,Nguyen Gia Dat,1988-05-28,Can Tho,LOW,62,FULL
C00150,Tran Gia Hoang,1976-10-02,Nha Trang,MEDIUM,24,FULL
C00151,Ngo Thanh Tung,1967-09-27,Hue,LOW,74,PARTIAL
C00152,Duong Minh Anh,1970-06-19,Vung Tau,LOW,33,FULL
C00153,Vo Hoang Nam,1978-02-02,Quang Ninh,LOW,14,FULL
C00154,Vu Thanh Khang,1962-08-30,Hue,LOW,15,FULL
C00155,Bui Gia Dat,1992-08-10,Can Tho,LOW,11,FULL
C00156,Vu Huu Nam,1988-01-04,Quang Ninh,LOW,48,FULL
C00157,Ho Khanh Long,1976-05-20,Hue,HIGH,5,PARTIAL
C00158,Duong Quoc Nhung,1984-03-15,Ha Noi,LOW,66,FULL
C00159,Duong Huu Anh,2005-08-24,Quang Ninh,LOW,49,FULL
C00160,Le Hoang Son,1979-12-05,Ho Chi Minh,LOW,5,FULL
C00161,Vu Duc Tung,1965-06-26,Vung Tau,LOW,67,PARTIAL
C00162,Nguyen Minh Trang,1994-06-16,Da Nang,HIGH,23,FULL
C00163,Hoang Quoc Huy,1991-09-29,Hue,LOW,46,FULL
C00164,Bui Khanh Anh,1986-04-14,Ho Chi Minh,LOW,56,FULL
C00165,Dang Xuan Hoang,1991-03-17,Ho Chi Minh,LOW,64,PARTIAL
C00166,Pham Gia Huy,1994-03-10,Ha Noi,MEDIUM,64,FULL
C00167,Vu Minh Son,2000-02-21,Vung Tau,LOW,85,FULL
C00168,Vu Thu Phuc,1985-03-03,Hue,HIGH,44,FULL
C00169,Bui Thi Hoang,2002-05-26,Quang Ninh,LOW,14,PARTIAL
C00170,Ho Huu Huy,2004-10-08,Quang Ninh,LOW,16,PARTIAL
C00171,Duong Minh Binh,1991-12-03,Dong Nai,LOW,43,FULL
C00172,Dang Huu Khang,1970-12-29,Vung Tau,LOW,15,PARTIAL
C00173,Le Tuan Anh,1988-10-13,Da Nang,LOW,63,FULL
C00174,Dang Thu An,1995-12-21,Hue,LOW,38,FULL
C00175,Ho Hoang Phuc,1995-11-14,Hai Phong,LOW,9,FULL
C00176,Bui Hai Long,1969-08-11,Dong Nai,LOW,57,FULL
C00177,Ngo Thanh Nhung,2001-05-20,Hai Phong,LOW,81,FULL
C00178,Ngo Hai Trang,1993-11-21,Ho Chi Minh,LOW,27,FULL
C00179,Pham Quoc Huy,1995-07-19,Dong Nai,LOW,14,FULL
C00180,Tran Huu Son,2003-07-22,Da Nang,LOW,48,FULL
C00181,Vo Tuan Nam,1970-08-01,Ha Noi,LOW,35,FULL
C00182,Vo Hai Phuc,1967-11-04,Hai Phong,LOW,6,FULL
C00183,Duong Huu Lan,1985-01-06,Quang Ninh,LOW,40,FULL
C00184,Do Gia Bao,1996-12-28,Da Nang,HIGH,28,FULL
C00185,Huynh Xuan Nam,1971-03-31,Nha Trang,LOW,56,FULL
C00186,Ngo Minh Khang,1962-07-11,Da Nang,HIGH,74,FULL
C00187,Pham Xuan Khoa,1995-09-03,Quang Ninh,LOW,85,FULL
C00188,Le Khanh Tung,1964-11-02,Ha Noi,MEDIUM,85,FULL
C00189,Ho Ngoc Binh,2004-07-17,Ha Noi,LOW,37,FULL
C00190,Vo Duc Long,2004-10-28,Nha Trang,MEDIUM,18,FULL
C00191,Huynh Thi Nam,2004-02-16,Ho Chi Minh,LOW,66,FULL
C00192,Vu Ngoc Nam,1971-01-14,Nha Trang,LOW,39,PARTIAL
C00193,Pham Xuan Huy,1980-06-13,Dong Nai,LOW,29,FULL
C00194,Hoang Tuan Nhung,2004-03-04,Ho Chi Minh,MEDIUM,41,FULL
C00195,Ho Xuan An,1966-03-16,Can Tho,MEDIUM,45,FULL
C00196,Vu Gia Khoa,1967-09-01,Dong Nai,MEDIUM,39,FULL
C00197,Ngo Huu Nam,1969-08-01,Ha Noi,LOW,19,FULL
C00198,Pham Khanh Tung,1982-02-18,Ha Noi,LOW,12,FULL
C00199,Bui Thu Binh,1986-12-23,Da Nang,LOW,16,FULL
C00200,Do Thanh Binh,1985-04-14,Vung Tau,MEDIUM,9,FULL
C00201,Vo Ngoc Vy,1989-02-11,Da Nang,MEDIUM,28,FULL
C00202,Do Ngoc Kiet,2000-10-22,Ha Noi,MEDIUM,83,FULL
C00203,Duong Quoc Dat,2000-05-12,Hai Phong,MEDIUM,78,FULL
C00204,Pham Thi Nhung,1999-11-11,Nha Trang,MEDIUM,12,FULL
C00205,Bui Huu Khang,1995-03-14,Nha Trang,LOW,60,FULL
C00206,Vo Huu Binh,1999-05-04,Can Tho,LOW,33,FULL
C00207,Vo Thu Huy,1964-05-30,Can Tho,LOW,23,FULL
C00208,Do Khanh Nhung,1989-05-21,Vung Tau,LOW,37,FULL
C00209,Hoang Huu Vy,1993-09-05,Quang Ninh,MEDIUM,88,FULL
C00210,Tran Thanh Khang,1982-08-19,Ha Noi,LOW,93,FULL
C00211,Pham Minh Khoa,1972-08-09,Can Tho,LOW,41,FULL
C00212,Huynh Gia Linh,1982-02-13,Can Tho,LOW,92,FULL
C00213,Vu Duc Hoang,1969-05-30,Hai Phong,MEDIUM,22,FULL
C00214,Vo Ngoc Bao,1991-12-13,Can Tho,MEDIUM,46,FULL
C00215,Ho Thi Vy,1985-07-19,Hai Phong,LOW,59,FULL
C00216,Ngo Khanh Phuc,1969-02-21,Nha Trang,LOW,7,FULL
C00217,Dang Minh Nam,1991-03-18,Quang Ninh,LOW,78,FULL
C00218,Tran Tuan Tung,1994-01-17,Da Nang,LOW,63,FULL
C00219,Phan Thu Anh,1973-02-28,Nha Trang,LOW,43,FULL
C00220,Huynh Thi Dat,1985-09-25,Nha Trang,MEDIUM,80,FULL
C00221,Duong Huu Trang,1975-12-30,Vung Tau,LOW,76,FULL
C00222,Pham Minh Bao,1972-11-13,Hue,LOW,87,PARTIAL
C00223,Duong Thu Anh,1965-10-28,Ho Chi Minh,MEDIUM,15,FULL
C00224,Ngo Khanh Khang,2001-11-05,Can Tho,MEDIUM,72,PARTIAL
C00225,Do Khanh An,1998-09-27,Can Tho,MEDIUM,41,FULL
C00226,Duong Quoc Binh,2001-06-26,Ho Chi Minh,LOW,31,FULL
C00227,Nguyen Van Tung,1999-02-11,Can Tho,LOW,41,FULL
C00228,Do Quoc Tung,1984-08-22,Dong Nai,LOW,36,PARTIAL
C00229,Ho Thanh Dat,1998-03-31,Dong Nai,LOW,70,FULL
C00230,Le Huu Binh,1976-10-29,Can Tho,MEDIUM,81,FULL
C00231,Vu Van Khoa,1962-08-23,Vung Tau,LOW,72,FULL
C00232,Ngo Van Khang,1977-01-25,Ha Noi,MEDIUM,48,FULL
C00233,Nguyen Duc Lan,1990-08-18,Quang Ninh,LOW,85,FULL
C00234,Bui Huu Khoa,1965-02-18,Hue,MEDIUM,31,FULL
C00235,Ho Thanh Binh,1963-11-07,Hai Phong,LOW,88,FULL
C00236,Dang Gia Phuc,1995-12-16,Nha Trang,HIGH,60,FULL
C00237,Tran Hai Vy,1983-01-01,Dong Nai,LOW,7,PARTIAL
C00238,Pham Khanh Trang,1978-01-31,Da Nang,LOW,11,FULL
C00239,Dang Hoang Bao,1971-04-19,Hue,MEDIUM,81,FULL
C00240,Ngo Huu Linh,1981-05-05,Ha Noi,MEDIUM,82,FULL
C00241,Ho Huu Dat,1981-01-25,Dong Nai,LOW,36,FULL
C00242,Pham Thu Bao,2002-01-29,Ho Chi Minh,LOW,38,FULL
C00243,Pham Gia Linh,1998-12-13,Nha Trang,HIGH,18,PARTIAL
C00244,Phan Ngoc Son,1977-11-29,Quang Ninh,MEDIUM,26,FULL
C00245,Phan Thi Long,1994-01-17,Can Tho,HIGH,42,FULL
C00246,Bui Thi Long,1980-09-27,Hue,LOW,92,FULL
C00247,Ho Minh Trang,1997-07-09,Can Tho,LOW,89,PARTIAL
C00248,Duong Hai Dat,2003-08-29,Can Tho,HIGH,20,PARTIAL
C00249,Duong Duc Bao,1999-04-29,Vung Tau,LOW,18,PARTIAL
C00250,Huynh Gia Hoang,1960-12-03,Quang Ninh,LOW,75,FULL
C00251,Huynh Khanh Khoa,1972-04-23,Can Tho,LOW,82,FULL
C00252,Duong Duc Phuc,1966-10-15,Vung Tau,MEDIUM,67,FULL
C00253,Vo Thanh Long,1993-08-14,Nha Trang,LOW,50,FULL
C00254,Ho Quoc Nam,1962-11-09,Can Tho,LOW,54,FULL
C00255,Huynh Thi Binh,1974-07-26,Dong Nai,LOW,24,FULL
C00256,Ngo Van Bao,1969-04-12,Dong Nai,LOW,78,FULL
C00257,Pham Xuan An,2005-01-03,Vung Tau,LOW,6,FULL
C00258,Ho Ngoc Tung,1963-12-28,Hue,LOW,61,FULL
C00259,Dang Hai Linh,1970-12-26,Hai Phong,LOW,90,FULL
C00260,Ho Duc Binh,1969-09-19,Nha Trang,LOW,36,FULL
C00261,Vu Van Khoa,1987-12-23,Vung Tau,HIGH,17,FULL
C00262,Bui Duc Binh,1983-07-21,Ho Chi Minh,LOW,23,PARTIAL
C00263,Duong Xuan Vy,1986-07-03,Nha Trang,LOW,37,FULL
C00264,Phan Huu Son,1980-01-08,Ha Noi,LOW,92,FULL
C00265,Phan Hai Khoa,1971-12-26,Ho Chi Minh,LOW,65,PARTIAL
C00266,Hoang Khanh Bao,1968-06-13,Quang Ninh,LOW,10,PARTIAL
C00267,Hoang Thi Tung,1968-12-23,Hai Phong,LOW,49,FULL
C00268,Ngo Minh Tung,1999-03-31,Dong Nai,MEDIUM,86,FULL
C00269,Ho Thanh Hoang,2005-06-16,Dong Nai,LOW,14,FULL
C00270,Vo Xuan Nhung,1989-01-22,Nha Trang,LOW,95,FULL
C00271,Duong Hai Dat,1995-08-27,Hue,MEDIUM,47,FULL
C00272,Ho Thu Bao,2004-08-19,Ha Noi,LOW,47,FULL
C00273,Vu Ngoc Nam,1974-09-13,Ho Chi Minh,HIGH,14,FULL
C00274,Bui Xuan Kiet,1961-03-18,Ha Noi,LOW,66,PARTIAL
C00275,Tran Thu Long,1984-06-27,Can Tho,MEDIUM,67,FULL
C00276,Phan Gia Dat,1988-01-09,Hai Phong,LOW,34,FULL
C00277,Ngo Tuan Phuc,1971-01-01,Ho Chi Minh,LOW,59,FULL
C00278,Ho Minh Binh,1963-09-18,Can Tho,LOW,72,FULL
C00279,Nguyen Quoc Long,1976-02-05,Da Nang,LOW,38,PARTIAL
C00280,Huynh Van Hoang,1980-11-07,Dong Nai,LOW,20,FULL
C00281,Vu Khanh Nam,1972-03-25,Quang Ninh,LOW,71,FULL
C00282,Ho Khanh Lan,1990-12-09,Ho Chi Minh,LOW,22,FULL
C00283,Ngo Tuan Nam,1969-02-07,Vung Tau,LOW,6,FULL
C00284,Hoang Huu Nhung,1977-04-03,Ho Chi Minh,MEDIUM,58,FULL
C00285,Do Khanh Dat,1963-03-11,Da Nang,LOW,5,FULL
C00286,Ho Ngoc Long,1974-05-04,Vung Tau,MEDIUM,61,FULL
C00287,Vu Thanh Bao,2005-05-07,Vung Tau,LOW,52,FULL
C00288,Tran Thi Trang,1967-08-06,Da Nang,LOW,88,FULL
C00289,Tran Van Bao,1985-02-20,Quang Ninh,LOW,69,FULL
C00290,Ngo Hoang Hoang,1992-11-21,Da Nang,LOW,39,FULL
C00291,Le Khanh Binh,1960-08-15,Hai Phong,HIGH,65,PARTIAL
C00292,Vo Hai Anh,2004-08-12,Dong Nai,HIGH,15,FULL
C00293,Bui Van Khoa,1993-03-17,Hai Phong,MEDIUM,88,FULL
C00294,Le Thanh Trang,1978-08-05,Can Tho,MEDIUM,70,FULL
C00295,Duong Huu Vy,1982-09-14,Ha Noi,LOW,94,FULL
C00296,Vu Ngoc Khang,1968-07-17,Vung Tau,HIGH,42,FULL
C00297,Vo Thi Huy,2002-03-03,Hue,LOW,14,FULL
C00298,Hoang Van An,1983-07-23,Can Tho,LOW,63,PARTIAL
C00299,Nguyen Thi Hoang,1969-07-23,Dong Nai,LOW,20,FULL
C00300,Vu Tuan Nhung,1979-09-02,Ha Noi,LOW,93,FULL
C00301,Pham Xuan An,1982-04-24,Da Nang,LOW,51,FULL
C00302,Pham Thu Nhung,1974-11-30,Ho Chi Minh,MEDIUM,67,PARTIAL
C00303,Do Hoang Nhung,1998-02-14,Ho Chi Minh,LOW,69,FULL
C00304,Duong Hoang Nhung,2003-05-11,Hai Phong,LOW,56,FULL
C00305,Duong Van An,1994-02-07,Dong Nai,LOW,62,FULL
C00306,Do Van Khang,1975-02-09,Vung Tau,MEDIUM,6,FULL
C00307,Tran Huu Khoa,1984-07-25,Nha Trang,MEDIUM,46,FULL
C00308,Vo Thi Trang,1993-03-16,Can Tho,LOW,78,FULL
C00309,Tran Xuan Kiet,1970-06-19,Dong Nai,LOW,42,PARTIAL
C00310,Ho Hai Vy,1997-08-19,Ho Chi Minh,LOW,13,FULL
C00311,Hoang Hoang An,1988-11-28,Vung Tau,LOW,43,FULL
C00312,Hoang Tuan Huy,2001-08-21,Can Tho,LOW,92,FULL
C00313,Hoang Tuan Hoang,1987-03-26,Hue,LOW,38,FULL
C00314,Huynh Xuan Hoang,1999-12-11,Ho Chi Minh,LOW,88,FULL
C00315,Vo Tuan Khoa,1973-12-25,Ho Chi Minh,LOW,59,FULL
C00316,Tran Thu Huy,2004-03-09,Da Nang,HIGH,85,FULL
C00317,Le Hoang Trang,1990-10-11,Nha Trang,LOW,89,FULL
C00318,Phan Thu Khang,1977-05-30,Dong Nai,LOW,26,FULL
C00319,Huynh Huu Nhung,1968-01-03,Hai Phong,LOW,40,FULL
C00320,Nguyen Tuan Bao,1994-11-11,Can Tho,LOW,51,PARTIAL
C00321,Phan Van Huy,1971-03-30,Quang Ninh,MEDIUM,70,FULL
C00322,Pham Thi Binh,1984-03-08,Quang Ninh,MEDIUM,46,FULL
C00323,Ngo Hoang Khang,1979-04-06,Can Tho,LOW,11,FULL
C00324,Vu Thanh Binh,1997-03-14,Dong Nai,LOW,90,FULL
C00325,Vo Van Khoa,1969-11-09,Can Tho,LOW,74,FULL
C00326,Bui Ngoc Tung,2002-05-26,Ha Noi,MEDIUM,32,PARTIAL
C00327,Dang Xuan Son,1984-10-06,Quang Ninh,MEDIUM,82,FULL
C00328,Ho Thanh Nam,1982-03-17,Ho Chi Minh,MEDIUM,78,PARTIAL
C00329,Bui Tuan Linh,1995-01-29,Da Nang,LOW,57,FULL
C00330,Vo Duc Phuc,2003-08-10,Can Tho,LOW,32,FULL
C00331,Phan Ngoc Khoa,1997-11-29,Vung Tau,MEDIUM,68,FULL
C00332,Vu Van Linh,1965-03-23,Da Nang,HIGH,92,FULL
C00333,Huynh Hai Son,1975-11-18,Quang Ninh,LOW,12,FULL
C00334,Vo Ngoc Linh,1964-07-22,Can Tho,LOW,24,FULL
C00335,Huynh Thi Binh,1986-10-10,Hue,LOW,67,FULL
C00336,Vu Thanh An,1991-08-31,Ho Chi Minh,LOW,60,FULL
C00337,Phan Hoang Linh,1984-03-15,Hai Phong,MEDIUM,16,PARTIAL
C00338,Vu Thanh Dat,1979-07-06,Vung Tau,LOW,47,FULL
C00339,Dang Tuan Lan,1965-08-25,Vung Tau,LOW,61,FULL
C00340,Tran Xuan Dat,1984-03-09,Can Tho,LOW,57,FULL
C00341,Hoang Duc Vy,1991-10-17,Ho Chi Minh,LOW,34,FULL
C00342,Phan Thanh Nhung,1990-01-28,Nha Trang,LOW,6,FULL
C00343,Vu Ngoc Bao,1981-03-30,Dong Nai,LOW,59,FULL
C00344,Vo Xuan Lan,1993-06-12,Quang Ninh,LOW,56,FULL
C00345,Duong Hoang Vy,1984-10-27,Vung Tau,LOW,36,FULL
C00346,Phan Thanh Khoa,2000-01-24,Vung Tau,LOW,5,FULL
C00347,Phan Tuan Son,1992-08-21,Da Nang,HIGH,23,FULL
